plotname,numpols,ttd,numtips,numnodes,collessmet,sackinmet,gamma
00MD01,1,6575.881672,19,17,-0.196928511,-0.200742472,-4.983015522
00MR003,1,8972.759102,22,20,1.979434522,1.391100772,-3.941761502
00MR01,0,10508.19277,11,10,-0.736509207,-0.403391053,-2.854954604
00MR02,0,4459.329834,10,9,-0.486653572,-0.357936508,-3.737914929
00NB01,1,10351.35936,23,21,0.415219913,0.357503934,-3.43182536
00NB02,0,3146.419273,8,7,0.411489979,0.189285714,-3.334583969
00VL01,0,11209.41622,13,12,-0.525940914,-0.36026751,-2.665159757
10380,2,10496.34979,31,28,2.165815284,1.655187028,-3.937766807
10480,2,10300.56288,42,38,3.544928569,2.846514387,-4.955507986
105880,0,6153.323265,6,5,-0.342494615,-0.233333333,-2.317494815
105980,1,14935.44196,17,14,-0.246693588,-0.114399163,-3.235528732
106080,1,12474.21391,25,22,-0.182944304,-0.031916356,-3.826890614
106180,3,7907.719265,24,19,0.396211024,0.156416978,-5.234371791
106280,2,10393.48536,26,21,0.242450367,0.137314414,-4.440247212
106380,2,10633.22285,20,16,0.270199247,0.154520686,-4.181859688
106480,1,9856.090942,17,15,0.341541706,0.238542014,-4.196195792
106580,2,10342.28129,24,19,1.354544357,0.864750311,-5.017238363
10679,1,13661.00912,15,13,2.341214653,1.696875347,-2.925036467
106880,1,11580.13488,26,22,0.819373444,0.868083644,-4.471198266
106980,1,11892.02081,14,10,-0.237411523,-0.217410367,-3.790431569
107080,1,9292.896745,15,13,-0.192118681,-0.16979132,-3.801884537
107180,0,1191.160921,4,3,-0.270362841,-0.166666667,-2.120084207
107280,1,7148.112216,9,7,-0.081293057,-0.213492063,-3.1316545
107380,1,10750.04293,13,10,0.243289855,0.101270951,-3.588616247
107480,3,11734.15789,37,30,0.66717577,0.43466539,-5.203944167
107580,1,11041.24522,12,10,0.464358204,0.126911977,-3.118458263
107680,1,12946.61025,34,25,0.589570996,0.528285901,-5.34377652
107780,1,12908.555,24,21,-0.353788976,-0.093583022,-4.083675927
107880,2,15077.72113,19,15,0.276755699,0.378204896,-3.19855335
108080,3,13687.60974,38,28,-0.126917797,0.044195973,-5.935638733
108180,1,16655.42994,13,10,0.166366778,0.178194028,-2.363480957
108280,0,17404.792,13,12,1.320212932,0.870501721,-2.223233481
1,NA,1,NA,1,NA,1,NA
108480,1,14277.25424,26,19,0.434758059,0.406545183,-4.374125814
108580,5,12833.312,41,32,0.524310673,0.564865142,-5.437063197
108680,2,11663.64561,23,20,0.110872087,0.14011263,-3.917531737
108780,0,9762.696045,18,17,1.058893096,0.732006066,-3.762328827
108880,2,11419.11013,28,24,0.069441296,0.145657922,-4.466676601
108980,1,13018.09956,6,4,-0.342494615,-0.233333333,-1.956481619
109080,0,16508.59834,7,6,0.455735657,0.1,-1.742806501
109101,1,8789.929831,40,38,1.502052066,1.267913922,-5.135217223
109102,4,11192.75907,28,23,1.462298439,1.395657922,-3.918639596
109103,3,10111.27805,37,31,0.018527121,0.056287012,-4.860177614
109104,0,8866.049446,27,26,0.671946506,0.772642049,-4.392208032
109105,3,9961.354073,28,23,0.28372701,0.288515065,-4.841518229
109106,2,8547.578937,36,32,1.56019036,1.123103829,-5.227472392
109107,2,9792.971271,35,30,0.560583459,0.420722876,-4.82540283
109108,3,9676.0955,36,30,0.449079249,0.511992718,-5.125816943
109109,1,7613.413322,27,25,1.449724284,1.180049456,-5.281291375
109110,2,9676.444788,33,30,1.68003002,1.276949003,-4.450835823
109112,1,11215.33209,31,28,-0.318055684,-0.054490391,-4.289141462
109113,2,8346.071846,24,21,-0.145455643,0.114750311,-4.677148499
109114,2,12582.80254,32,28,1.150195618,0.945509609,-3.758759798
109115,0,9564.813981,20,19,0.870199247,0.754520686,-3.820714441
109117,1,12556.24855,31,27,2.198073348,1.88099348,-3.632588237
109118,3,10699.07042,33,27,2.073969414,1.731494458,-5.067994836
109121,2,7234.616406,35,32,1.503440602,1.249294305,-5.667393684
109122,1,9193.701358,34,32,0.67780629,0.557697666,-4.939288707
109123,3,10153.56701,41,34,1.768213112,1.320962703,-5.380894076
109124,4,8939.116078,42,36,0.783023807,0.751276291,-5.068372333
109125,3,9314.503492,34,30,0.736629819,0.675344725,-4.570582225
109126,2,8381.371586,34,31,0.030747467,0.14593296,-5.073916156
109127,0,8381.828834,32,31,-0.068554382,0.039259609,-4.680792218
109129,3,10522.62503,45,38,1.375935697,1.276770436,-5.304083108
109130,3,11462.78429,28,22,1.676584153,1.324229351,-4.196203358
109131,2,8927.375032,45,42,1.19815792,0.965659324,-4.536445761
109133,1,7965.322475,32,30,-0.412304382,-0.179490391,-4.772369879
109134,3,9652.114932,47,41,1.606209451,1.336838274,-5.650914729
109135,2,8583.591845,33,30,1.195181535,1.034524761,-4.605552606
109136,2,9812.422777,39,36,1.503651926,1.236503666,-3.836222889
109137,0,9626.502766,24,23,1.479544357,1.323083644,-3.419008486
109140,2,10088.13709,40,36,1.877052066,1.642913922,-4.704726825
109141,1,9065.839985,36,34,0.921301471,0.706437162,-4.577367529
109147,0,10444.33829,31,30,1.488395929,1.23583219,-3.447929631
109148,1,8769.93758,42,38,0.949690474,0.870323911,-4.580510789
109150,1,9206.127701,38,33,2.057292729,1.544195973,-5.219800749
109152,0,9801.626157,33,32,0.770939111,0.670888397,-4.024905174
109153,1,9477.357136,40,38,1.352052066,1.167913922,-4.774931238
109154,2,9683.371812,40,36,1.077052066,0.892913922,-4.65524562
109155,5,9928.443614,46,38,0.613377081,0.579668986,-4.404320419
109156,5,10298.71667,46,39,0.395985776,0.492712465,-4.617606934
109157,5,8889.659417,44,38,1.149923705,0.981820941,-4.346387546
109158,5,9611.752179,44,37,0.627196432,0.550002759,-3.947648353
109159,2,10413.89553,41,38,2.841383844,2.394133434,-4.351254465
109160,2,8760.754222,34,31,1.560159231,1.20475649,-4.695183233
109161,1,9741.361665,32,28,1.400195618,1.195509609,-4.766027383
109164,1,10823.37581,38,36,1.820450624,1.412617026,-4.487338616
109165,3,10713.9867,33,27,0.922454262,0.822403549,-4.369378229
109167,3,10454.85852,41,36,0.621871649,0.613645629,-4.074735433
109168,3,12496.41388,42,36,2.283023807,1.870323911,-3.487003069
109169,1,9351.50019,39,37,1.093395515,0.980093409,-3.629555582
109170,0,7548.449753,25,24,0.577055696,0.488083644,-4.691821832
109171,4,10208.84879,49,44,0.489417345,0.551793405,-4.576236102
109173,1,10032.36907,35,33,1.303440602,1.106437162,-4.062697497
109174,4,13744.07542,32,26,0.243945618,0.351759609,-3.804519573
109175,0,9424.103264,38,37,1.609924308,1.307353868,-4.989637354
109176,2,8974.222835,31,28,1.456137864,1.332606383,-4.081943427
109177,1,9114.071831,33,31,1.346696686,1.246645973,-3.665813874
109185,3,10349.8076,36,32,1.393523693,1.123103829,-4.092243177
109186,0,8507.974534,32,31,1.243945618,1.101759609,-3.629711756
109188,3,9323.833976,45,41,0.753713475,0.698992658,-4.402423749
109189,1,8927.302586,21,19,0.976170988,0.661663543,-3.925672113
109191,2,7930.021822,42,39,1.11635714,0.846514387,-5.31749787
109192,0,7301.096528,36,35,0.699079249,0.539770495,-5.470463317
109193,2,9179.973168,50,47,1.243908515,1.001589323,-5.102655801
109194,0,8768.637763,21,20,0.214266226,0.090234971,-3.856414797
109195,2,12187.9094,34,29,0.442512172,0.381227078,-4.331163872
109196,3,9281.226523,45,41,0.909269031,0.810103769,-4.372642273
109197,3,12179.80196,34,26,1.589570996,1.292991784,-4.605406953
109198,4,8657.284688,40,32,0.952052066,0.767913922,-5.661629553
109200,3,10477.5928,41,35,1.25601799,0.955109044,-4.893674905
109201,3,13839.43347,36,27,1.171301471,1.289770495,-4.357476088
109202,2,11133.1421,38,31,1.741503256,1.544195973,-4.974131873
109203,0,11580.70231,17,16,0.635659353,0.415012602,-3.619154525
109204,2,10941.62729,27,21,0.153427988,0.105975382,-3.994292454
109205,1,11259.92157,25,23,0.777055696,0.688083644,-4.38997632
109206,0,11450.97121,21,20,0.92855194,0.804520686,-3.661393231
109207,2,9369.385953,32,27,1.275195618,1.070509609,-4.62265507
109208,2,10483.21452,31,28,1.101299155,0.848735416,-4.071660721
109209,0,8777.612743,35,34,1.13201203,1.049294305,-4.273434419
109210,0,5533.75159,14,13,0.619731334,0.496875347,-3.55552372
109211,2,9147.639511,29,26,1.162428794,0.869795853,-4.311567628
109212,0,7778.475726,28,27,-0.037701561,-0.104342078,-4.422841815
109213,1,13305.32784,25,22,0.497055696,0.488083644,-3.481988107
109214,0,6355.378432,18,17,0.00333754,0.120894955,-3.670985735
109215,2,8018.22552,33,30,0.952757292,0.792100518,-4.540214275
109216,2,9370.145026,33,28,1.437605777,1.095130821,-4.34136317
109217,2,10370.16784,50,46,1.423908515,1.181589323,-3.945481325
109218,4,9117.306513,38,32,1.215187466,1.017880184,-4.649735321
109219,0,5574.729019,14,13,0.191159905,0.068303918,-3.990618412
109220,0,11333.46661,17,16,1.576835824,1.356189072,-3.035964786
109221,2,9951.527844,39,36,0.913908336,0.749324179,-4.601613312
109222,2,7691.960533,36,33,1.949079249,1.567548273,-5.317248644
109223,0,7129.037985,15,14,0.207881319,0.096875347,-3.833342295
109225,0,5394.173357,14,13,0.40544562,0.282589633,-3.81102861
109226,2,8493.446499,29,26,1.231394311,0.869795853,-4.432827365
109227,3,8781.664887,31,27,1.036783026,0.913251545,-4.416933931
109228,0,7298.023611,16,15,0.093342798,-0.011457986,-3.761887367
109229,3,9473.787835,33,29,0.528514868,0.307252033,-3.977627404
109230,2,9571.248009,42,36,1.378261902,1.108419149,-5.097305053
109880,2,8870.337491,24,21,1.31287769,0.989750311,-4.530141683
109980,2,11801.29522,20,17,0.770199247,0.554520686,-3.254023865
110701,1,11306.49388,18,16,0.558893096,0.343117177,-3.667626348
110702,1,7990.561863,16,14,-0.156657202,-0.261457986,-4.422314851
110703,1,10696.02785,19,17,0.066229383,0.062415423,-3.859505792
110704,0,7140.526351,14,13,0.762588477,0.496875347,-4.066712884
110705,1,10318.48169,20,18,0.220199247,0.104520686,-3.407269864
110706,2,12674.44079,14,10,0.40544562,0.282589633,-3.197518531
110707,0,4909.408139,8,7,-0.338510021,-0.310714286,-3.182972399
110708,0,11245.10471,12,11,-0.285641796,-0.28975469,-2.586834413
110709,2,11249.496,17,14,0.400365235,0.179718484,-3.187860748
110710,0,9186.062512,8,7,0.161489979,-0.060714286,-2.723571074
110711,1,10435.80843,16,14,-0.156657202,-0.261457986,-3.315946712
110712,1,9681.849962,17,14,-0.423164176,-0.40851681,-4.151996116
110713,1,14313.49331,19,16,-0.24956009,0.062415423,-3.333752027
110714,0,10531.41368,14,13,-0.237411523,-0.217410367,-3.02432177
110715,0,5375.653117,9,8,1.140929165,0.786507937,-3.377311805
110716,1,18224.27323,10,8,-0.686653572,-0.357936508,-1.729106783
110717,0,20069.34284,11,10,-0.827418298,-0.494300144,-1.527111269
110718,1,11532.25219,10,7,0.013346428,-0.057936508,-3.195939372
110719,1,13744.79839,12,10,0.131024871,0.126911977,-2.806498222
110720,1,12176.33813,14,12,0.40544562,0.282589633,-3.007986776
110721,2,12750.48584,17,14,0.106247588,0.003247896,-3.4641729
110722,0,8058.930019,5,4,0.706493608,0.233333333,-1.880000057
110723,1,9949.347805,20,18,1.070199247,0.654520686,-3.879818414
110724,0,5045.064041,6,5,0.490838718,0.266666667,-2.566830736
110725,0,4351.489635,6,5,-0.342494615,-0.233333333,-2.402448844
110726,0,13556.29522,6,5,-0.342494615,-0.233333333,-1.405520194
110727,2,13631.24266,17,14,-0.658458294,-0.526163869,-3.136925124
110728,1,18147.70508,14,12,-0.165982952,-0.145981796,-2.100751626
110729,1,11427.44571,10,8,0.213346428,0.142063492,-2.947867425
110730,0,11649.16072,11,10,0.627127157,0.414790765,-2.613212642
110731,1,17880.72909,11,8,0.172581702,0.142063492,-2.478965119
110732,1,11402.00181,14,12,-0.09455438,0.068303918,-3.261265931
110733,2,14431.74184,17,12,-1.129046529,-0.643810928,-3.663762369
110734,0,8419.081757,11,10,0.354399884,0.323881674,-3.255786527
110735,0,8932.199496,13,12,0.474059086,0.332040182,-3.663861284
110736,1,25922.71299,10,8,0.613346428,0.342063492,-1.020379606
110737,0,10257.16743,10,9,0.013346428,-0.057936508,-2.490644915
110738,0,9138.470716,12,11,0.547691537,0.21024531,-3.126439821
